paraphrase_name,count,mean,std,min,25%,50%,75%,max
Emoji And Typo And …,2986.0,6.484259879437374,3.594046827897039,0.0,3.0,8.0,10.0,10.0
Contractions,1493.0,6.471533824514401,3.336977026486121,0.0,4.0,7.0,10.0,10.0
Modal Should,1493.0,6.470194239785666,3.6277826191328795,0.0,3.0,8.0,10.0,10.0
With Metaphors,1493.0,6.46483590087073,3.5109369414684215,0.0,3.0,8.0,10.0,10.0
Ambiguous Scope,1493.0,6.444072337575352,2.964103836758335,0.0,4.0,7.0,9.0,10.0
Typo Extra Letter,1489.0,6.442578912021491,3.4326606205887904,0.0,4.0,8.0,10.0,10.0
With Examples And E…,1493.0,6.438044206296048,3.1126653717582866,0.0,4.0,7.0,9.0,10.0
Singlish,1490.0,6.413422818791946,3.486453834231825,0.0,4.0,7.0,10.0,10.0
Urgent,1493.0,6.411922304085733,3.720430135178208,0.0,3.0,8.0,10.0,10.0
Friendly,1493.0,6.404554588077696,3.3561644524123224,0.0,4.0,7.0,9.0,10.0
Aave,1490.0,6.4,3.126137133605324,0.0,4.0,7.0,9.0,10.0
Second Person,1493.0,6.397186872069659,3.4184748987356905,0.0,3.0,8.0,9.0,10.0
Third Person,1493.0,6.395847287340924,3.4182382474908906,0.0,3.0,8.0,9.0,10.0
Statement,1493.0,6.389149363697254,3.4215552548108574,0.0,3.0,8.0,9.0,10.0
Confident,1493.0,6.38780977896852,3.4209238418328063,0.0,3.0,7.0,10.0,10.0
No Spaces,1489.0,6.383478844862323,3.479010950051808,0.0,3.0,8.0,10.0,10.0
Positive,1493.0,6.3804420629604826,3.6756853520303294,0.0,3.0,8.0,10.0,10.0
Exact Numbers,1490.0,6.373825503355705,3.6059032260505766,0.0,3.0,8.0,10.0,10.0
First Plural,1493.0,6.3730743469524445,3.3193717699109415,0.0,4.0,7.0,9.0,10.0
Authoritative,1493.0,6.354989953114535,3.3545870445071375,0.0,3.0,7.0,10.0,10.0
With Tldr Summary,1493.0,6.3523107836570665,3.4585524145447137,0.0,3.0,7.0,10.0,10.0
Typo Missing Letter,1489.0,6.35191403626595,3.4428511179779844,0.0,3.0,7.0,10.0,10.0
Lighthearted,1493.0,6.350971198928332,3.668949040096008,0.0,3.0,8.0,10.0,10.0
Typo Repeated Lette…,1489.0,6.3505708529214235,3.4566246602990485,0.0,3.0,7.0,10.0,10.0
Acronyms Spelled Out,1493.0,6.336905559276624,3.255181114921399,0.0,4.0,7.0,10.0,10.0
Fuzzy Numbers,1490.0,6.3355704697986575,3.4984612145597422,0.0,3.0,7.0,10.0,10.0
With Emotional Appe…,1493.0,6.334226389819156,3.4396580266262244,0.0,3.0,7.0,9.0,10.0
Nominalization,1489.0,6.328408327736736,3.528913629298524,0.0,3.0,8.0,10.0,10.0
Typo Swap And Punct…,1489.0,6.328408327736736,3.458510650435808,0.0,3.0,7.0,10.0,10.0
Formal Memo,1492.0,6.327077747989276,3.4513370943865636,0.0,3.0,7.0,10.0,10.0
Typo Adjacent,1489.0,6.321692411014103,3.451946362989993,0.0,3.0,7.0,9.0,10.0
Apologetic,1493.0,6.316141995981246,3.231544939028445,0.0,4.0,7.0,9.0,10.0
Short Paragraph,1493.0,6.314132618888145,3.478743552430973,0.0,3.0,7.0,10.0,10.0
Past Tense,1493.0,6.312123241795043,3.4693748779546025,0.0,3.0,7.0,9.0,10.0
With Summary,1493.0,6.31078365706631,3.5023734180884722,0.0,3.0,7.0,10.0,10.0
Australian English,1490.0,6.302013422818792,3.3112639194034776,0.0,4.0,7.0,9.0,10.0
Meta Question,1492.0,6.300938337801608,3.5106314230943734,0.0,3.0,7.0,10.0,10.0
Typo Wrong Letter,1489.0,6.289456010745467,3.5147772206593784,0.0,3.0,7.0,10.0,10.0
Warm,1493.0,6.288680509042197,3.446700514608333,0.0,3.0,7.0,9.0,10.0
Typo Transpose,1489.0,6.280725319006044,3.479457458389394,0.0,3.0,7.0,10.0,10.0
Direct Question,1493.0,6.275954454119223,3.396527437839107,0.0,3.0,7.0,9.0,10.0
Checklist,1489.0,6.274009402283411,3.2399767028263913,0.0,4.0,7.0,9.0,10.0
Wh Question,1493.0,6.257870060281313,3.4971953552922295,0.0,3.0,7.0,9.0,10.0
Memo,1492.0,6.257372654155496,3.5183879247085974,0.0,3.0,7.0,10.0,10.0
Polite Request,1493.0,6.256530475552578,3.41703162298931,0.0,3.0,7.0,9.0,10.0
Pun Based,1493.0,6.255860683188212,3.6335365621397337,0.0,3.0,8.0,10.0,10.0
Emergency Alert,1492.0,6.252680965147453,3.609524184681188,0.0,3.0,7.0,10.0,10.0
Inversion,1489.0,6.251846877098724,3.6108183310086885,0.0,3.0,8.0,10.0,10.0
Informal,1493.0,6.245144005358339,3.506244648845763,0.0,3.0,7.0,9.0,10.0
With Technical Deta…,1493.0,6.243804420629605,3.2623507526893762,0.0,4.0,7.0,9.0,10.0
Hopeful,1493.0,6.240455458807769,3.61155767696993,0.0,3.0,7.0,10.0,10.0
First Singular,1493.0,6.237776289350301,3.399119644076351,0.0,3.0,7.0,9.0,10.0
Typo Swap,1489.0,6.235728676964405,3.482122085260211,0.0,3.0,7.0,9.0,10.0
Impersonal One Shou…,1493.0,6.226389819156061,3.4417286558013807,0.0,3.0,7.0,9.0,10.0
Validator Pass,1493.0,6.220361687876758,3.601878140991536,0.0,3.0,7.0,10.0,10.0
With Statistics,1493.0,6.2150033489618215,3.3755134576143657,0.0,3.0,7.0,9.0,10.0
Spanglish,1490.0,6.21006711409396,3.561344683193527,0.0,3.0,7.0,10.0,10.0
Future Tense,1493.0,6.201607501674481,3.4629711226020725,0.0,3.0,7.0,9.0,10.0
Command,1493.0,6.195579370395177,3.3817530813737875,0.0,3.0,7.0,9.0,10.0
Suggestion,1493.0,6.195579370395177,3.4605097742990374,0.0,3.0,7.0,9.0,10.0
Greeting,1493.0,6.18821165438714,3.4181459201707436,0.0,3.0,7.0,9.0,10.0
Expert Consensus,1493.0,6.183523107836571,3.4656215343869303,0.0,3.0,7.0,9.0,10.0
With Counterargumen…,1493.0,6.1801741460147355,3.190398333219948,0.0,4.0,7.0,9.0,10.0
Timestamped Chat,1492.0,6.174262734584451,3.6227809359104604,0.0,3.0,7.0,10.0,10.0
Passive Voice,1493.0,6.172806430006698,3.5082644614595972,0.0,3.0,7.0,9.0,10.0
Legal Jargon,1490.0,6.167785234899329,3.5318804876766627,0.0,3.0,7.0,10.0,10.0
With Step By Step,1493.0,6.151373074346952,3.5058157049158822,0.0,3.0,7.0,10.0,10.0
Therapy Session,1492.0,6.14142091152815,3.7218120273661492,0.0,3.0,7.0,10.0,10.0
Journalist Interview,1492.0,6.129356568364611,3.679117405598179,0.0,3.0,7.0,10.0,10.0
With Rebuttals,1493.0,6.121902210314802,3.287580598480158,0.0,3.0,7.0,9.0,10.0
Typo Homophone,1489.0,6.118200134318334,3.5278459090933145,0.0,3.0,7.0,9.0,10.0
Very Formal,1490.0,6.114765100671141,3.6265729935424935,0.0,3.0,7.0,9.0,10.0
Garden Path,1493.0,6.107836570663094,3.6551808976006206,0.0,3.0,7.0,10.0,10.0
Apology,1493.0,6.102478231748158,3.424337358898596,0.0,3.0,7.0,9.0,10.0
Edit Typo,1492.0,6.099865951742627,3.4801458503389413,0.0,3.0,7.0,9.0,10.0
Step Rationale,1493.0,6.09979906229069,2.9894956782037867,0.0,4.0,6.0,9.0,10.0
Typo Random,1489.0,6.092008059100067,3.5128790401140546,0.0,3.0,7.0,9.0,10.0
Exclamation,1493.0,6.0897521768251845,3.459839797805408,0.0,3.0,7.0,9.0,10.0
Formal Business,1493.0,6.081044876088413,3.5618993609640714,0.0,3.0,7.0,9.0,10.0
With Detailed Instr…,1493.0,6.068988613529806,3.531730371754201,0.0,3.0,7.0,10.0,10.0
Ellipsis Style,1493.0,6.055592766242465,3.411499418796911,0.0,3.0,7.0,9.0,10.0
Self Deprecating,1493.0,6.043536503683858,3.7650653704115444,0.0,2.0,7.0,10.0,10.0
Nested Question,1493.0,6.032819825853985,3.5219906467279043,0.0,3.0,7.0,9.0,10.0
Child Directed,1493.0,6.016744809109176,3.5452438951342655,0.0,3.0,7.0,9.0,10.0
Pun,1493.0,5.973208305425318,3.75265128190418,0.0,2.0,7.0,10.0,10.0
Enthusiastic,1493.0,5.971868720696584,3.6514364654988274,0.0,3.0,7.0,9.0,10.0
Deferential,1493.0,5.9638312123241795,3.4660404282570045,0.0,3.0,7.0,9.0,10.0
Multi Paragraph,1493.0,5.960482250502344,3.4449586717190535,0.0,3.0,7.0,9.0,10.0
Indirect Question,1493.0,5.944407233757535,3.5616351826839434,0.0,3.0,7.0,9.0,10.0
Typo Swap And Trans…,1489.0,5.9422431161853595,3.586398374188467,0.0,3.0,7.0,9.0,10.0
Litotes,1493.0,5.936369725385131,3.7544392958488757,0.0,2.0,7.0,9.0,10.0
With Stream Of Cons…,1493.0,5.91828533154722,3.621135344975089,0.0,3.0,7.0,9.0,10.0
Footnotes,1493.0,5.916275954454119,3.39279856471642,0.0,3.0,6.0,9.0,10.0
Playful,1493.0,5.902880107166778,3.8732357927698584,0.0,2.0,7.0,10.0,10.0
Dynamic Quiz,1493.0,5.90020093770931,3.4905204774596013,0.0,3.0,6.0,9.0,10.0
Fashion Jargon,1490.0,5.881208053691275,3.6308851466211234,0.0,3.0,7.0,9.0,10.0
Malapropism,1493.0,5.864701942397857,3.8053044140896697,0.0,2.0,7.0,10.0,10.0
Tag Question,1493.0,5.860683188211654,3.623262466373815,0.0,2.0,7.0,9.0,10.0
Fact Check Inline,1493.0,5.856664434025452,3.2773213524522697,0.0,3.0,7.0,9.0,10.0
Chinese Simplified,1490.0,5.854362416107382,3.468886618923495,0.0,3.0,7.0,9.0,10.0
Scots,1490.0,5.846979865771812,3.660097527151138,0.0,2.0,7.0,9.0,10.0
Sms,1492.0,5.846514745308311,3.875999849516394,0.0,2.0,7.0,10.0,10.0
Musical Notation,1493.0,5.8452779638312125,3.672707397973512,0.0,2.0,7.0,9.0,10.0
With Citations,1493.0,5.808439383791025,3.1600740717983444,0.0,3.0,6.0,9.0,10.0
Legalease,1493.0,5.808439383791025,3.8143244251397013,0.0,2.0,7.0,9.0,10.0
Gaming Jargon,1490.0,5.806040268456376,3.7269953109811054,0.0,2.0,7.0,9.0,10.0
Role Expert Cot,1493.0,5.801071667782987,2.781825143602449,0.0,4.0,6.0,8.0,10.0
Silly,1493.0,5.793034159410583,3.8748041164065774,0.0,2.0,7.0,10.0,10.0
Culinary Jargon,1490.0,5.776510067114094,3.694929443790911,0.0,2.0,7.0,9.0,10.0
Roleplay Knight,1492.0,5.765415549597855,3.8319752741787974,0.0,2.0,7.0,10.0,10.0
Output Json,1493.0,5.764902880107167,3.539179494636164,0.0,2.0,6.0,9.0,10.0
Two Sentence,1493.0,5.763563295378432,3.590979337552214,0.0,2.0,6.0,9.0,10.0
Formal Academic,1493.0,5.760884125920964,3.5572336558259154,0.0,2.0,7.0,9.0,10.0
See Attached Diagram,1493.0,5.753516409912927,3.825210400812994,0.0,2.0,6.0,10.0,10.0
Rhetorical Question,1493.0,5.74146014735432,3.660180229751249,0.0,2.0,7.0,9.0,10.0
Yes No,1493.0,5.735432016075017,3.646815023632022,0.0,2.0,7.0,9.0,10.0
90Char Bullet,1493.0,5.73007367716008,3.6105872480898973,0.0,2.0,6.0,9.0,10.0
Sports Jargon,1490.0,5.718791946308725,3.7578816948435367,0.0,2.0,7.0,9.0,10.0
Output Python,1493.0,5.704621567314133,3.427019483605115,0.0,3.0,6.0,9.0,10.0
Rubric Scored,1493.0,5.697923643670462,3.2412765543749273,0.0,3.0,6.0,9.0,10.0
Summary Then Detail,1493.0,5.6965840589417285,3.2922396952417263,0.0,3.0,6.0,9.0,10.0
Spanish,1490.0,5.679194630872483,3.7587288187380565,0.0,2.0,7.0,9.0,10.0
Nested Parenthetica…,1493.0,5.665103817816477,3.57985800234627,0.0,3.0,6.0,9.0,10.0
Legalese,1490.0,5.6516778523489934,3.745085950227725,0.0,2.0,7.0,9.0,10.0
Technical,1493.0,5.6463496316142,3.7151664204758443,0.0,2.0,7.0,9.0,10.0
Archaic,1493.0,5.638312123241795,3.3592623889711484,0.0,3.0,6.0,9.0,10.0
Dual Audience,1493.0,5.635632953784327,3.1367176376124504,0.0,3.0,6.0,8.0,10.0
Empty Input,1493.0,5.624916275954454,3.8033033048270517,0.0,2.0,6.0,9.0,10.0
Witty,1493.0,5.622906898861353,3.8407209115845604,0.0,2.0,7.0,9.0,10.0
Random Caps,1489.0,5.617864338482203,3.5903811169452355,0.0,2.0,6.0,9.0,10.0
Table Layout,1489.0,5.601746138347885,3.5931194944838647,0.0,2.0,6.0,9.0,10.0
Bureaucratic,1493.0,5.601473543201608,3.6159347923309375,0.0,2.0,6.0,9.0,10.0
Colloquial,1493.0,5.601473543201608,3.5941825164094516,0.0,2.0,6.0,9.0,10.0
Hinglish,1490.0,5.5825503355704695,3.6603943011249136,0.0,2.0,6.0,9.0,10.0
Joke,1493.0,5.55793703951775,3.8399828290502307,0.0,2.0,6.0,9.0,10.0
React Tool Calls,1493.0,5.547890154052244,3.3335392327590823,0.0,3.0,6.0,9.0,10.0
Single Sentence,1493.0,5.539852645679839,3.6276860962035435,0.0,2.0,6.0,9.0,10.0
Finance Jargon,1490.0,5.531543624161074,3.679670015578704,0.0,2.0,6.0,9.0,10.0
Melancholy,1493.0,5.526456798392498,3.8394562419116878,0.0,1.0,7.0,9.0,10.0
Euphemistic,1490.0,5.492617449664429,3.6073593526229897,0.0,2.0,6.0,9.0,10.0
Recursive Self Refe…,1493.0,5.491627595445412,3.684176124515463,0.0,2.0,6.0,9.0,10.0
Advertisement,1492.0,5.477882037533512,3.564135958255895,0.0,2.0,6.0,9.0,10.0
Output Yaml,1493.0,5.464166108506363,3.5349018975740445,0.0,2.0,6.0,9.0,10.0
Gamer Slang,1490.0,5.461073825503355,3.710316538052352,0.0,2.0,6.0,9.0,10.0
Vulgar,1490.0,5.459060402684564,3.7570620929870118,0.0,2.0,6.0,9.0,10.0
Few Words,1493.0,5.425318151373074,3.6585976977332884,0.0,2.0,6.0,9.0,10.0
Rude,1493.0,5.4105827193569995,3.94272948768053,0.0,1.0,6.0,9.0,10.0
Profane,1493.0,5.407903549899531,3.83005144357047,0.0,1.0,6.0,9.0,10.0
Absurdist,1493.0,5.394507702612191,3.3908324366413285,0.0,3.0,6.0,9.0,10.0
Evidence Cited Md,1493.0,5.379772270596115,3.1178450662198953,0.0,3.0,6.0,8.0,10.0
Numbered Steps,1493.0,5.377762893503014,3.846671006704792,0.0,1.0,6.0,9.0,10.0
Output Html,1493.0,5.364367046215673,3.4027847300124763,0.0,2.0,6.0,9.0,10.0
Dogmatic,1493.0,5.3536503683858,3.7792002187268934,0.0,2.0,6.0,9.0,10.0
Paradox Statement,1493.0,5.350971198928332,3.773060559603484,0.0,2.0,6.0,9.0,10.0
Comparison Table,1493.0,5.30609511051574,3.2662374881122065,0.0,3.0,6.0,8.0,10.0
Risks And Benefits,1493.0,5.278633623576691,2.761047564702996,0.0,3.0,5.0,7.0,10.0
Dramatic,1493.0,5.265907568653717,3.896227182399182,0.0,1.0,6.0,9.0,10.0
Humorous,1493.0,5.2592096450100465,3.8146294753799803,0.0,1.0,6.0,9.0,10.0
Paradox,1493.0,5.251172136637642,3.888079883455925,0.0,1.0,6.0,9.0,10.0
Negated,1493.0,5.249162759544541,3.9890358660184613,0.0,1.0,6.0,9.0,10.0
Insulting,1493.0,5.236436704621568,3.8594212782134756,0.0,1.0,6.0,9.0,10.0
Redundant Waffle,1493.0,5.225050234427328,3.9899658932432303,0.0,1.0,6.0,9.0,10.0
Slang Heavy,1490.0,5.2194630872483225,3.7705546431933303,0.0,1.0,6.0,9.0,10.0
Error Message,1492.0,5.206434316353888,3.9180418320672605,0.0,1.0,5.0,9.0,10.0
Medical Jargon,1490.0,5.18255033557047,3.790549407995614,0.0,1.0,5.0,9.0,10.0
Choice Question,1493.0,5.173476222371065,3.9860740879116014,0.0,1.0,5.0,9.0,10.0
Debate Turns,1492.0,5.17225201072386,3.726455822018653,0.0,1.0,5.5,9.0,10.0
Sms Abbrev,1489.0,5.1464069845533915,3.7106432286429483,0.0,1.0,5.0,9.0,10.0
Self Consistency,1493.0,5.14266577361018,2.9776437090069887,0.0,3.0,5.0,7.0,10.0
Cynical,1493.0,5.111855324849297,3.587504393767584,0.0,2.0,5.0,9.0,10.0
Checklist Markdown,1493.0,5.093770931011386,3.1502661777043017,0.0,3.0,5.0,8.0,10.0
Marketing Speak,1490.0,5.085234899328859,3.876551676398576,0.0,1.0,5.0,9.0,10.0
Sardonic,1493.0,5.0663094440723375,3.889771022730518,0.0,1.0,6.0,9.0,10.0
Shakespeare,1493.0,5.055592766242465,3.8219755605257277,0.0,1.0,5.0,9.0,10.0
Plan Execute Reflect,1493.0,5.050904219691896,3.1097153046014565,0.0,3.0,5.0,8.0,10.0
With Research Paper,1493.0,4.989283322170127,3.8085754562744154,0.0,1.0,5.0,9.0,10.0
Contradictory Ask,1493.0,4.959812458137978,3.4847031433073403,0.0,2.0,4.0,9.0,10.0
Physics Jargon,1490.0,4.94765100671141,3.777021897125522,0.0,1.0,5.0,9.0,10.0
Minimalist,1493.0,4.930341594105827,3.8473516818279316,0.0,1.0,5.0,9.0,10.0
Salesy,1493.0,4.92967180174146,3.8884940208418164,0.0,1.0,5.0,9.0,10.0
Cockney,1490.0,4.921476510067114,3.7373303099027204,0.0,1.0,5.0,9.0,10.0
German,1490.0,4.909395973154362,3.908865133627888,0.0,0.0,5.0,9.0,10.0
Output Csv,1493.0,4.907568653717347,3.4721454294889167,0.0,2.0,5.0,8.0,10.0
French,1490.0,4.873154362416107,3.910089768489615,0.0,0.0,5.0,9.0,10.0
Jargon,1493.0,4.85264567983925,3.7877308324322008,0.0,1.0,5.0,9.0,10.0
Marketing,1493.0,4.823844608171467,3.89082504431066,0.0,0.0,5.0,9.0,10.0
Role Expert Cot Wit…,5972.0,4.799229738780978,2.5122802213062347,0.0,3.0,5.0,7.0,10.0
Skeptical,1493.0,4.794373744139317,3.9510979180912513,0.0,0.0,5.0,9.0,10.0
Chemical Smiles,1493.0,4.7521768251841925,3.515410865865221,0.0,2.0,4.0,8.0,10.0
Software Jargon,1490.0,4.696644295302013,3.820949219218599,0.0,1.0,5.0,9.0,10.0
Output Sql,1493.0,4.695244474212994,3.5281647550416024,0.0,1.0,4.0,8.0,10.0
Ironic,1493.0,4.661754855994642,3.9067709665277732,0.0,0.0,4.0,9.0,10.0
Surreal,1493.0,4.645010046885465,3.9526228544504036,0.0,0.0,4.0,9.0,10.0
Csv Line,1489.0,4.643384822028207,3.6547617102810057,0.0,1.0,5.0,8.0,10.0
Sarcastic,1493.0,4.537843268586738,3.9843117158944072,0.0,0.0,4.0,9.0,10.0
Json Format,1492.0,4.444369973190349,3.698421972821765,0.0,1.0,4.0,8.0,10.0
Socratic Dialogue,1493.0,4.421969189551239,3.2981999529053705,0.0,2.0,4.0,7.0,10.0
Sentence Fragment,1493.0,4.38780977896852,3.8490674802883302,0.0,0.0,4.0,8.0,10.0
Roman Numeral,1490.0,4.3436241610738255,3.8546514015522053,0.0,0.0,4.0,8.0,10.0
Rap Verse,1492.0,4.300938337801608,3.867167225717212,0.0,0.0,4.0,8.0,10.0
Scientific Notation,1490.0,4.273825503355705,3.7866435939509437,0.0,0.0,3.0,8.0,10.0
Leet Speak,1489.0,4.16655473472129,3.9216704275171548,0.0,0.0,3.0,8.0,10.0
Double Negative,1493.0,4.155391828533155,3.9431235403604132,0.0,0.0,3.0,8.0,10.0
News Headline,1492.0,4.128686327077748,3.954239608583839,0.0,0.0,3.0,8.0,10.0
Condensed Then Expa…,17916.0,4.075965617325296,2.799421921056481,0.0,2.0,4.0,6.0,10.0
Yaml Block,1492.0,4.047587131367292,3.6543866048712546,0.0,1.0,3.0,8.0,10.0
